EXID,Preferred name,Degree,Group name,ID,Synonyms
KEGG:hsa04141,protein processing in endoplasmic reticulum,16,Pathway,KEGG:hsa04141,protein processing in endoplasmic reticulum
KEGG:hsa05205,proteoglycans in cancer,27,Pathway,KEGG:hsa05205,proteoglycans in cancer
KEGG:hsa04964,proximal tubule bicarbonate reclamation,5,Pathway,KEGG:hsa04964,proximal tubule bicarbonate reclamation
KEGG:hsa00230,purine metabolism,12,Pathway,KEGG:hsa00230,purine metabolism
REACT:R73847,purine metabolism,10,Pathway,REACT:R73847,purine metabolism
KEGG:hsa00620,pyruvate metabolism,11,Pathway,KEGG:hsa00620,pyruvate metabolism
REACT:R112409,raf-independent mapk1/3 activation,16,Pathway,REACT:R112409,raf-independent mapk1/3 activation
REACT:R5673001,raf/map kinase cascade,15,Pathway,REACT:R5673001,raf/map kinase cascade
KEGG:hsa04015,rap1 signaling pathway,19,Pathway,KEGG:hsa04015,rap1 signaling pathway
KEGG:hsa04014,ras signaling pathway,19,Pathway,KEGG:hsa04014,ras signaling pathway
REACT:R5693565,recruitment and atm-mediated phosphorylation of repair and signaling proteins at dna double strand breaks,7,Pathway,REACT:R5693565,recruitment and atm-mediated phosphorylation of repair and signaling proteins at dna double strand breaks
REACT:R159418,recycling of bile acids and salts,3,Pathway,REACT:R159418,recycling of bile acids and salts
REACT:R418359,reduction of cytosolic ca++ levels,3,Pathway,REACT:R418359,reduction of cytosolic ca++ levels
REACT:R193692,regulated proteolysis of p75ntr,4,Pathway,REACT:R193692,regulated proteolysis of p75ntr
KEGG:hsa04810,regulation of actin cytoskeleton,17,Pathway,KEGG:hsa04810,regulation of actin cytoskeleton
REACT:R2029482,regulation of actin dynamics for phagocytic cup formation,13,Pathway,REACT:R2029482,regulation of actin dynamics for phagocytic cup formation
REACT:R186712,regulation of beta-cell development,9,Pathway,REACT:R186712,regulation of beta-cell development
REACT:R1655829,regulation of cholesterol biosynthesis by srebp (srebf),15,Pathway,REACT:R1655829,regulation of cholesterol biosynthesis by srebp (srebf)
REACT:R1234158,regulation of gene expression by hypoxia-inducible factor,8,Pathway,REACT:R1234158,regulation of gene expression by hypoxia-inducible factor
REACT:R210745,regulation of gene expression in beta cells,6,Pathway,REACT:R210745,regulation of gene expression in beta cells
REACT:R3371453,regulation of hsf1-mediated heat shock response,13,Pathway,REACT:R3371453,regulation of hsf1-mediated heat shock response
REACT:R1234174,regulation of hypoxia-inducible factor (hif) by oxygen,12,Pathway,REACT:R1234174,regulation of hypoxia-inducible factor (hif) by oxygen
REACT:R912694,regulation of ifna signaling,2,Pathway,REACT:R912694,regulation of ifna signaling
REACT:R877312,regulation of ifng signaling,2,Pathway,REACT:R877312,regulation of ifng signaling
